id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5811422,Studio-type space near Central Square,12576232,Thomas,,The Port,42.37067,-71.09913,Entire home/apt,75,32,51,2022-12-03,0.56,6,275,1,
5857136,Lovely apt easy walk to Harvard Sq,1260886,Mimi And Brian,,Neighborhood Nine,42.3849,-71.1304,Entire home/apt,379,2,190,2022-10-18,2.03,2,162,19,C0234160491
6013381,Modern Spacious 1BR | Kitchen + Work Desk | by GLS,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,4,2021-02-18,0.04,8,365,0,C0281180491
6106691,Luxury Harvard/MIT Victorian,8824696,Steve,,West Cambridge,42.38085,-71.13546,Entire home/apt,256,1,178,2022-11-01,1.93,2,339,12,STR-13324
6185544,Sunny 3 bed/2 bath-5 min to T- Harvard/MIT/Boston,21745230,Jurek,,North Cambridge,42.3965,-71.1367,Entire home/apt,197,1,105,2022-11-24,1.16,5,218,19,STR-13504
6185571,Room w/private bath+fridge+microwave-fast wifi,21745230,Jurek,,North Cambridge,42.39671,-71.13664,Private room,91,2,134,2022-12-02,1.48,5,255,36,STR-13504
6363476,Unique Philadelphia Style Apartment Behind Harvard,33155440,Kimberly,,Agassiz,42.38411,-71.11523,Entire home/apt,325,4,159,2022-12-25,2.51,1,119,29,STR-13655
6374780,"Big 2 bedroom, steps to Davis Sq",25354687,David,,North Cambridge,42.39525,-71.12717,Entire home/apt,171,120,5,2015-09-14,0.06,1,228,0,
6385215,2BRM  with Parking - near Harvard & Porter Sq,22200553,Andrew,,Neighborhood Nine,42.38266,-71.12925,Entire home/apt,100,30,26,2022-10-29,0.29,1,147,4,
6397721,"Lux Kendall Square 1 Bedroom w/gym, WiFi",9419684,Churchill,,East Cambridge,42.363617,-71.08202,Entire home/apt,456,31,11,2021-04-25,0.12,13,365,0,C0281170491
6434394,2BR Walk to Harvard/MIT/Red Line T,24415419,David,,The Port,42.36932,-71.09821,Entire home/apt,299,1,364,2022-11-19,3.93,1,0,48,STR-14836
6473781,Single family house / Cambridgeport,33820072,Mary,,Cambridgeport,42.35983,-71.10667,Entire home/apt,800,2,24,2022-10-23,0.26,1,78,3,STR-13444
